ALS|GLON(deg)|GLAT(deg)
 6478|  125.12|    0.52
 6479|  125.29|   -1.69
19334|  125.42|   -3.14
16533|  127.24|  -24.98
 6480|  125.24|   -0.05
16532|  125.07|    2.23
19575|  125.33|   -0.86
 6481|  125.49|   -2.87
 6482|  125.43|   -2.06
 6484|  125.42|   -1.45
 6483|  125.34|   -0.46
 6485|  125.01|    3.93
 6486|  125.42|   -0.88
 6488|  125.87|   -6.34
 6487|  125.56|   -2.45
 6490|  125.63|   -2.84
 6489|  125.22|    2.21
19895|  128.08|  -28.56
 6491|  125.79|   -3.65
 6492|  125.75|   -2.96
 6493|  125.68|   -1.87
16534|  130.84|  -46.39
 6494|  125.34|    2.23
19953|  128.75|  -32.07
 6495|  125.70|   -1.42
 6496|  126.01|   -4.81
 6497|  125.81|   -2.44
 6498|  125.68|   -0.81
 6500|  126.26|   -7.04
 6499|  125.82|   -2.25
 6501|  125.88|   -2.61
 6504|  126.05|   -4.43
 6502|  125.79|   -1.64
 6503|  125.80|   -1.73
16518|  125.82|   -1.88
 6505|  125.89|   -2.60
 6506|  126.07|   -4.21
19696|  123.87|   18.65
19954|  126.03|   -3.43
 6507|  126.08|   -3.57
 6508|  125.64|    1.22
 6509|  125.70|    0.79
 6510|  126.16|   -3.94
16535|  127.24|  -14.58
 6511|  125.87|   -0.78
 6513|  126.05|   -2.54
 6512|  125.36|    4.75
18065|  285.89|  -73.74
19576|  126.28|   -3.81
 6515|  126.04|   -1.43
 6516|  126.42|   -5.06
 6514|  125.65|    2.55
 6518|  126.70|   -7.23
 6517|  125.71|    2.56
 6519|  125.83|    1.59
 6520|  126.11|   -0.81
18773|  125.92|    1.03
 6521|  126.49|   -4.31
 6523|  126.55|   -4.48
 6524|  126.58|   -4.58
17123|  126.57|   -4.48
 6525|  126.58|   -4.44
 6526|  126.57|   -4.33
17122|  126.60|   -4.45
 6522|  125.40|    6.61
17128|  126.60|   -4.40
17129|  126.61|   -4.45
 6528|  126.61|   -4.36
17121|  126.61|   -4.37
 6527|  125.90|    2.22
19955|  124.10|   18.09
 6529|  126.63|   -4.41
 6530|  126.64|   -4.41
 6531|  126.63|   -4.35
17124|  126.66|   -4.42
 6532|  126.66|   -4.42
17125|  126.65|   -4.33
 6533|  126.62|   -4.01
17126|  126.67|   -4.46
 6535|  126.42|   -2.09
 6536|  126.68|   -4.46
17127|  126.70|   -4.41
 6537|  126.71|   -4.43
 6534|  125.50|    6.37
 6540|  126.71|   -4.09
 6539|  126.51|   -2.28
 6538|  126.18|    0.70
19956|  127.55|  -11.01
 6541|  126.30|   -0.17
 6542|  126.37|   -0.63
 6543|  126.32|   -0.09
 6544|  126.40|   -0.72
 6545|  126.30|    0.62
 6546|  126.14|    2.18
 6549|  126.50|   -0.71
 6547|  126.17|    2.07
 6548|  126.23|    1.58
 6550|  126.89|   -3.76
 6552|  126.98|   -4.34
 6553|  126.40|    0.59
 6551|  126.20|    2.27
 6554|  126.25|    1.92
 6555|  126.63|   -1.09
 6556|  126.79|   -2.30
 6557|  127.24|   -6.00
 6558|  126.26|    2.97
 6559|  126.53|    1.31
14578|  126.66|    0.35
 6561|  126.83|   -0.84
 6562|  126.71|    0.16
 6564|  127.30|   -4.38
 6563|  126.68|    0.51
 6565|  126.98|   -1.63
 6566|  126.82|   -0.41
 6568|  127.35|   -4.40
 6567|  126.90|   -0.96
 6560|  126.75|    0.20
 6569|  127.03|   -1.80
 6570|  126.59|    1.65
 6571|  126.70|    0.94
19780|  133.36|  -40.57
 6572|  127.50|   -5.04
 6573|  126.87|   -0.02
 6574|  126.89|   -0.06
 6577|  126.94|   -0.26
 6576|  126.85|    0.43
 6579|  127.12|   -1.56
 6578|  126.98|   -0.48
 6575|  126.28|    4.74
 6580|  126.23|    5.30
 6582|  127.10|   -1.01
17690|  127.31|   -2.54
 6583|  127.32|   -2.54
 6581|  126.90|    0.48
17689|  127.39|   -2.48
 6584|  127.39|   -2.45
 6585|  127.38|   -2.28
 6587|  127.41|   -2.18
17438|  130.39|  -22.01
 6588|  127.59|   -3.31
 6586|  126.46|    4.66
 6589|  127.03|    0.70
18127|  127.04|    0.71
 6590|  126.97|    1.38
 6591|  127.43|   -1.49
 6592|  127.04|    1.28
 6594|  127.64|   -2.49
 6593|  126.68|    4.01
 6595|  127.80|   -3.41
 6596|  127.68|   -2.27
 6597|  127.91|   -3.74
 6599|  127.33|    0.28
 6598|  127.22|    1.03
 6600|  127.58|   -1.18
 6601|  127.40|    0.19
 6602|  127.61|   -1.14
 6604|  127.91|   -2.75
 6603|  127.51|   -0.14
 6605|  127.17|    2.18
 6606|  127.38|    0.82
 6607|  127.55|   -0.18
 6608|  128.32|   -5.06
 6609|  127.96|   -2.71
 6610|  128.05|   -3.09
17688|  127.87|   -1.92
 6612|  127.73|   -0.96
 6611|  127.53|    0.32
 6613|  127.96|   -2.24
16536|  132.32|  -27.32
 6615|  128.16|   -3.30
 6614|  127.47|    1.03
 6616|  127.87|   -1.35
 6617|  127.75|   -0.52
 6618|  127.61|    0.52
 6619|  128.18|   -3.01
 6621|  128.15|   -2.57
17693|  127.88|   -0.88
 6623|  128.76|   -6.22
 6622|  128.03|   -1.77
 6620|  127.31|    2.63
 6624|  128.31|   -3.38
 6625|  128.07|   -1.82
 6626|  128.25|   -2.94
17692|  127.97|   -1.15
 6628|  128.35|   -2.90
