#    |              BAT_NAME|     RA|    DEC|     SNR|              COUNTERPART_NAME|                     OTHER_NAME| CTPT_RA|CTPT_DEC|    FLUX| FLUX_LO| FLUX_HI|CONTA|GAMM|GAMM|GAMM|  CHI_SQ_R|REDSHIF|  LUM|ASSOC_STREN|        CL2|                 TYPE
#    |                      |    deg|    deg|        |                              |                               |     deg|     deg|10^-12er|10^-12er|10^-12er|     |    |    |    |          |       |log  |           |           |
  60|SWIFT J0113.8+1313    | 18.476| 13.222|    7.76|Mrk975                        |                               | 18.4626| 13.2717|   13.50|   10.99|   16.61|  0.0|2.09|1.66|2.60|      1.30| 0.0490| 43.8|           |         40|Sy1.2               
  61|SWIFT J0113.8-1450    | 18.474|-14.864|   14.24|Mrk1152                       |                               | 18.4587|-14.8456|   24.04|   21.65|   27.04|  0.0|2.12|1.89|2.37|      0.30| 0.0520| 44.2|           |         40|Sy1.2               
  62|SWIFT J0114.5-3236    | 18.559|-32.664|    6.46|IC1657                        |                               | 18.5292|-32.6509|   12.18|    9.56|   14.44|  0.0|1.83|1.34|2.40|      0.10| 0.0120| 42.5|           |         50|Sy2                 
  63|SWIFT J0114.4-5522    | 18.599|-55.397|    9.41|NGC454E                       |                               | 18.6038|-55.3971|   19.04|   16.35|   21.37|  0.0|1.56|1.25|1.88|      0.20| 0.0120| 42.7|           |         50|Sy2                 
  64|SWIFT J0116.3+3104    | 19.081| 31.046|    6.37|NGC452                        |                               | 19.0618| 31.0338|   11.90|    9.37|   14.08|  0.0|2.00|1.56|2.51|      1.20| 0.0160| 42.8|           |         50|Sy2                 
  65|SWIFT J0116.5-1235    | 19.129|-12.582|    5.65|2MASXJ01163118-1236171        |                               | 19.1298|-12.6047|    9.34|    6.82|   11.51|  0.0|2.13|1.59|2.82|      0.70| 0.4260| 45.7|           |         70|Unknown AGN         
  66|SWIFT J0117.8-7327    | 19.272|-73.444|  394.46|SMC X-1                       |                               | 19.2714|-73.4433|  420.98|  419.61|  422.18|  0.0|3.35|3.33|3.36|    700.10|       |     |           |        180|HMXB                
  67|SWIFT J0117.8+6516    | 19.512| 65.294|  119.37|2S 0114+650                   |                               | 19.5112| 65.2916|  155.40|  153.34|  156.97|  0.0|2.64|2.61|2.67|      8.00|       |     |           |        180|HMXB                
  68|SWIFT J0118.5+6344    | 19.614| 63.738|   60.44|4U 0115+634                   |                               | 19.6330| 63.7400|   66.26|   64.71|   67.44|  0.0|3.38|3.30|3.46|      4.20|       |     |           |        180|HMXB                
  69|SWIFT J0122.0-2818    | 20.518|-28.315|    5.04|Q0119-286                     |                               | 20.4646|-28.3492|   10.61|    7.24|   13.16|  0.0|1.54|0.89|2.22|      0.50| 0.1160| 44.5|           |         40|Sy1                 
  70|SWIFT J0122.8+5003    | 20.673| 50.105|    8.35|MCG+8-3-18                    |                               | 20.6435| 50.0550|   10.24|    8.20|   11.76|  0.0|2.78|2.29|3.40|      0.10| 0.0200| 42.9|           |         50|Sy2                 
  71|SWIFT J0122.9+3420    | 20.776| 34.371|    9.23|SHBLJ012308.7+342049          |                               | 20.7860| 34.3469|   11.27|    9.65|   13.34|  0.0|2.94|2.46|3.55|      0.80| 0.2720| 45.4|           |         80|Beamed AGN          
  72|SWIFT J0123.8-3504    | 20.973|-35.060|   40.94|NGC526A                       |                               | 20.9766|-35.0654|   73.91|   71.60|   76.84|  0.0|1.93|1.85|2.00|      0.40| 0.0190| 43.7|           |         50|Sy2                 
