#|name              |ra        |dec      |flux_1_100_gev|flux_1_100_gev_error|detection_significance|spectrum_type   |alt_gammaray_name_1|assoc_name                  |analysis_flags|
|4FGL J2015.5+3710 |20 15 34.2|+37 10 34|    7.1199e-09|          3.3866e-10|               25.0416|LogParabola     |3FGL J2015.6+3709  |MG2 J201534+3710            |           002|
|4FGL J1230.9+3711 |12 30 57.6|+37 11 13|    8.0458e-11|          2.0206e-11|                4.1813|PowerLaw        |                   |WISE J123124.08+371102.2    |           004|
|4FGL J2016.2+3712 |20 16 13.7|+37 12 47|    1.0938e-09|          3.0516e-10|                9.6043|PowerLaw        |                   |VER J2016+372               |           001|
|4FGL J1730.8+3715 |17 30 48.6|+37 15 51|    3.4123e-10|          3.7078e-11|               14.4529|LogParabola     |3FGL J1730.6+3711  |GB6 J1730+3714              |           000|
|4FGL J1534.8+3716 |15 34 53.2|+37 16 20|    2.8129e-10|          3.5025e-11|               13.5675|PowerLaw        |3FGL J1535.0+3721  |RGB J1534+372               |           000|
|4FGL J0152.2+3714 |01 52 15.1|+37 14 03|    1.9536e-10|          3.0327e-11|                7.9516|PowerLaw        |3FGL J0152.2+3707  |B2 0149+37                  |           000|
|4FGL J1309.6+3718 |13 09 40.9|+37 18 35|    7.0169e-11|          2.2067e-11|                5.5033|PowerLaw        |                   |FIRST J130948.8+371651      |           000|
|4FGL J1458.6+3722 |14 58 41.6|+37 22 21|    3.4322e-10|          3.1595e-11|               15.9398|PowerLaw        |3FGL J1458.7+3719  |B3 1456+375                 |           000|
|4FGL J2026.5+3718c|20 26 34.9|+37 18 15|    9.7047e-10|          1.5752e-10|                5.8548|LogParabola     |                   |NVSS J202726+372249         |           042|
|4FGL J0453.9+3727 |04 53 57.5|+37 27 24|    2.2493e-10|          5.4283e-11|                4.0843|PowerLaw        |                   |GB6 J0454+3724              |           000|
|4FGL J2139.1+3724 |21 39 09.2|+37 24 47|    1.6135e-10|          3.6677e-11|                4.2817|PowerLaw        |                   |MG3 J213937+3727            |           016|
|4FGL J1506.1+3731 |15 06 08.3|+37 31 06|    1.5850e-09|          5.6728e-11|               61.6146|LogParabola     |3FGL J1506.1+3728  |B2 1504+37                  |           000|
|4FGL J0221.8+3730 |02 21 52.6|+37 30 40|    1.6598e-10|          2.9812e-11|                6.2361|PowerLaw        |                   |GB6 J0222+3731              |           000|
|4FGL J1357.3+3730 |13 57 19.4|+37 30 16|    6.0596e-11|          2.0364e-11|                3.2830|PowerLaw        |                   |NGC 5380                    |          4096|
|4FGL J0727.1+3734 |07 27 06.8|+37 34 19|    8.8857e-11|          2.6675e-11|                4.5720|PowerLaw        |                   |SDSS J072659.51+373423.0    |           000|
|4FGL J1630.6+3734 |16 30 39.1|+37 34 57|    1.1581e-09|          6.2631e-11|               30.2150|PLSuperExpCutoff|3FGL J1630.2+3733  |PSR J1630+3734              |           000|
|4FGL J1109.6+3735 |11 09 38.2|+37 35 12|    1.7733e-10|          3.1724e-11|               10.4137|PowerLaw        |3FGL J1109.6+3734  |NVSS J110938+373609         |           001|
|4FGL J1423.1+3738 |14 23 10.1|+37 38 43|    5.6062e-10|          4.1677e-11|               22.9007|LogParabola     |1FGL J1422.7+3743  |NVSS J142304+373729         |           000|
|4FGL J1032.6+3737 |10 32 41.6|+37 37 24|    5.7034e-10|          4.2385e-11|               21.8121|PowerLaw        |3FGL J1032.7+3735  |B3 1029+378                 |           000|
|4FGL J1912.4+3738 |19 12 28.6|+37 38 58|    2.3022e-10|          3.9306e-11|                6.7354|LogParabola     |                   |TXS 1910+375                |           000|
|4FGL J1353.2+3740 |13 53 13.2|+37 40 55|    1.6245e-10|          3.1213e-11|                8.0512|LogParabola     |                   |RGB J1353+376               |           000|
